NoRaw	D1	D2	Ru_PP	Br_PP	Uk_PP	Pl_PP	Cz_PP	Sk_PP	Sl_PP	Cr_PP	Sr_PP	Mk_PP	Bg_PP
5	-0.441760432978965	-0.0612845153501537	от	ад	від	z	INS	od	od	od	od	од	от
6	-0.441420088188391	-0.0614617356868682	от	ад	від	z	INS	od	od	od	od	од	от
8	-0.377772764364361	0.256938714453527	от	ад	з	z	z	z	od	od	od	од	от
9	-0.445457278643799	-0.0446359655909779	от	ад	від	z	NA	NA	od	NA	od	од	NA
11	0.250117435041766	-0.0920802174726974	от	ад	від	NA	nad	nad	vpričo	zbog	zbog	поради	от
12	-0.441583000035383	-0.0613738623070661	от	ад	від	z	INS	od	od	od	od	од	от
15	-0.371343889225373	0.0232312662475136	от	ад	від	z	NA	NA	v	od	od	од	от
16	-0.431096626938476	-0.0789306758678932	от	ад	від	z	INS	od	NA	od	od	NA	от
17	-0.550335574285042	0.0586195010386803	от	ад	від	z	v	v	od	od	od	од	от
18	-0.446365711794248	-0.0537811226887778	от	NA	від	z	INS	od	od	od	od	од	от
19	-0.457763969897746	-0.0624417191319793	от	ад	від	z	NA	od	od	od	od	NA	от
20	-0.415155678269817	-0.0757733035310275	от	ад	NA	NA	INS	od	NA	NA	od	од	от
21	-0.335107670475442	0.185256154069217	от	ад	NA	z	z	z	NA	od	od	од	от
22	-0.461661902941097	-0.10165027827569	от	ад	від	NA	NA	od	od	od	od	од	NA
23	-0.578006329634986	0.147090509817111	от	ў	з	NA	NA	od	od	od	od	од	NA
24	-0.509491631782454	-0.13167063849337	от	NA	від	INS	NA	od	od	od	od	од	от
25	-0.443302904895087	-0.098814123473127	от	ад	від	NA	INS	od	od	od	od	од	от
26	-0.367863095353106	-0.254065726023059	от	ад	від	od	NA	NA	v	od	od	од	от
28	-0.0876266382058081	0.81302444315476	из	дзелйа	з	przez	z	z	iz	iz	radi	од	от
30	-0.419781666424855	-0.0361852473086593	от	ад	від	z	NA	od	NA	od	od	од	от
32	-0.444739946551344	-0.076382141262742	от	ад	від	NA	NA	od	od	od	NA	од	от
33	-0.418981670410537	0.175772556216683	от	ад	з	z	z	od	od	od	od	од	от
34	0.876633947351281	0.514415996963961	из-за	з-за	через	przez	ve_jménu	NA	NA	zbog	zbog	поради	в_името_на
35	-0.567084679889764	0.00740907105205065	от	ад	від	na_skutek	NA	z	od	od	od	од	от
36	-0.463152891521857	0.0848881088106527	от	NA	з	z	INS	od	od	od	od	од	от
37	-0.436518659713999	-0.0708973974195029	от	ад	від	NA	NA	NA	od	od	NA	од	от
38	0.271126233919064	0.604554553857757	по	з-за	з	przez	z	z	v	zbog	zbog	од	от
39	-0.455081546032081	-0.0817882739773782	от	ад	від	z	INS	od	od	od	od	NA	от
40	-0.356807730615255	-0.136972236184341	от	ад	від	NA	NA	NA	v	od	od	од	от
41	-0.441722109733769	-0.0614593000361825	от	ад	від	z	INS	od	od	od	od	од	от
42	-0.35604486147548	-0.0801480345394138	от	ад	від	z	INS	od	v	od	od	од	от
43	-0.441688027964011	-0.0612892941819089	от	ад	від	z	INS	od	od	od	od	од	от
44	-0.0241269021321747	0.905080580322534	из	NA	з	NA	z	pre	iz	radi	radi	од	NA
45	-0.443285493758179	-0.098639302436051	от	ад	від	NA	INS	od	od	od	od	од	от
46	-0.443174475533403	-0.0985068616930121	от	ад	від	NA	INS	od	od	od	od	од	от
47	-0.444905492529365	-0.0763749972767725	от	ад	від	NA	NA	od	od	od	NA	од	от
48	-0.442311547625637	-0.0424266449843389	от	ад	від	z	NA	od	od	od	od	од	от
49	-0.441474628664048	-0.0614093966738388	от	ад	від	z	INS	od	od	od	od	од	от
51	-0.443216928154642	-0.0987537079496451	от	ад	від	NA	INS	od	od	od	od	од	от
52	-0.437161476047919	-0.077218862242134	от	ад	від	NA	NA	NA	od	od	od	од	от
53	-0.446101339135594	-0.0536900629580124	от	NA	від	z	INS	od	od	od	od	од	от
54	-0.159744133452997	0.681143665481131	из	NA	NA	z	z	z	iz	iz	iz	од	от
55	-0.442153242571454	-0.0426694963246022	от	ад	від	z	NA	od	od	od	od	од	от
56	-0.468744032330183	0.239138705915833	с	ад	з	z	NA	NA	od	od	od	од	от
57	0.96082720635103	0.403718903998836	по	з-за	через	z_powodu	díky	pre	po	zbog	NA	поради	заради
58	-0.441803459981914	-0.0613387954651577	от	ад	від	z	INS	od	od	od	od	од	от
67	-0.41049027179581	-0.0307448104960795	от	ад	від	z	NA	NA	NA	od	od	од	от
69	1.00749241776924	-0.152534380365894	с	ў	з	w	v	NA	v	u	u	в	NA
70	0.0605119591218219	0.783042277253579	из	з-за	з	z	z	z	NA	iz	iz	поради	от
76	-0.488116127182298	-0.237330515390842	от	ад	від	od	od	NA	od	od	od	од	от
77	-0.268371637962762	-0.397115250349076	из-за	ад	від	od	NA	od	od	od	od	поради	от
80	-0.41884079278964	-0.248703879154349	от	ад	NA	od	INS	od	od	INS	od	од	от
85	0.289394656764976	0.867716244324927	из	дзелйа	з	z	NA	NA	zaradi	zbog	iz	NA	за
88	0.783329882521939	0.175996154374344	из-за	ад	завдйаки	z_powodu	pro	NA	zaradi	zbog	zbog	поради	поради
90	-0.0577332580444614	0.717185585012706	из	з	через	z	z	z	iz	iz	iz	од	от
93	-0.441492663125426	-0.061346989945857	от	ад	від	z	INS	od	od	od	od	од	от
98	-0.435189014690358	-0.0567573331615393	от	ад	від	z	INS	NA	od	od	od	од	от
100	-0.169837427977039	0.737874223850652	из	ў	з	z	z	z	iz	iz	iz	од	от
107	-0.225665539062584	0.66778126784765	из	NA	з	z	NA	NA	iz	iz	iz	од	от
108	-0.44105115465369	-0.0886909819472033	от	NA	від	NA	INS	NA	od	od	od	од	от
109	0.676565090060132	0.109437868007949	от	NA	через	wskutek	na_základě	NA	zaradi	zbog	NA	заради	поради
123	-0.116495351153636	0.563124506999758	по	NA	з	z	NA	NA	iz	NA	zbog	од	от
127	-0.424872384276715	0.0655917153802111	от	NA	від	z	NA	z	od	od	od	од	от
132	0.179550063212766	1.01413737811889	из	NA	заради	z	z	NA	NA	za	za	за	заради
133	0.0488221501662848	0.617839336460426	из	NA	через	z	z	z	zaradi	iz	iz	од	от
134	-0.439220336794392	-0.0478343434576192	от	NA	від	z	INS	NA	od	od	od	од	от
137	0.000661937356371191	0.370241224916654	от	NA	через	z	z	NA	zaradi	od	iz	од	NA
142	-0.439361829088507	-0.0476878445578566	от	NA	від	z	INS	NA	od	od	od	од	от
143	-0.195247600471716	0.783329388995369	из	NA	з	z	NA	NA	iz	iz	iz	од	NA
151	-0.268915994894109	0.497819330277171	от	NA	з	z	z	NA	iz	NA	iz	од	от
152	-0.263759279852542	0.516758015055251	от	NA	з	z	z	NA	iz	INS	iz	од	от
153	0.0271925478826823	0.690318573143501	из	NA	через	przez	z	NA	iz	NA	iz	од	от
164	-0.438872019199428	-0.037181910575768	от	NA	від	z	INS	NA	od	od	NA	од	от
165	-0.461086607778975	-0.0496795709989926	от	NA	від	z	INS	NA	od	od	NA	од	NA
170	-0.182366820199539	0.689975386235011	из	NA	з	NA	z	NA	iz	iz	NA	од	от
171	-0.18244582165958	0.690067146725668	из	NA	з	NA	z	NA	iz	iz	NA	од	от
174	-0.461380137070655	-0.0498306559416941	от	NA	від	z	INS	NA	od	od	NA	од	NA
178	-0.406100280097062	0.417354802707173	с	NA	з	z	z	NA	od	od	NA	од	от
180	-0.320876025872608	0.545196483703024	с	NA	з	z	z	NA	iz	od	NA	од	от
189	-0.122275558290136	0.723389055525438	из	NA	з	przez	z	NA	iz	iz	NA	од	от
191	-0.409610136577808	-0.0314023084724595	от	NA	від	z	INS	NA	NA	od	NA	од	от
195	-0.429159782611684	-0.0344223587500744	от	NA	від	z	INS	NA	od	NA	NA	од	от
197	-0.196152034987662	0.784180459172031	из	NA	з	z	z	NA	NA	iz	NA	од	по
198	-0.43871611086734	-0.0372108922859917	от	NA	від	z	INS	NA	od	od	NA	од	от
200	-0.409588619030013	-0.0311744113264907	от	NA	від	z	INS	NA	NA	od	NA	од	от
201	-0.438892714499007	-0.0373367263081006	от	NA	від	z	INS	NA	od	od	NA	од	от
202	-0.20655482248745	0.597317039379851	из	NA	NA	z	z	NA	iz	iz	NA	од	от
209	-0.463147984546972	0.0852662440757052	от	NA	з	z	INS	od	od	od	od	од	от
213	-0.533416101041663	-0.184481450116886	от	NA	NA	INS	INS	NA	od	od	od	NA	от
