NoRaw	Source	Cause	Ru_verb	Ru_yes_no	Ru_Class	Ru_PP	Ru_N	Russian	Br_yes_no	Br_Class	Br_PP	Br_NP	Belarusian	Uk_yes_no	Uk_Class	Uk_PP	Uk_NP	Ukrainian	Pl_yes_no	Pl_Class	Pl_PP	Pl_NP	Polish	Cz_yes_no	Cz_Class	Cz_PP	Cz_NP	Czech	Sk_yes_no	Sk_Class	Sk_PP	Sk_NP	Slovak	Sl_yes_no	Sl_Class	Sl_PP	Sl_NP	Slovene	Cr_yes_no	Cr_Class	Cr_PP	Cr_NP	Croatian	Sr_yes_no	Sr_Class	Sr_PP	Sr_NP	Serbian	MK_yes_no	Mk_Class	Mk_PP	Mk_NP	Macedonian	Bg_yes_no	Bg_Class	Bg_PP	Bg_NP	Bulgarian	Total	Russian2	Ukrainian2	Polish2	Serbian2	German	Upper Sorbian	Slovak2	Croatian2
5	bulgakovmaster	д	белый	1	ot	от	ужас	15326 Он успел повернуться на бок , бешеным движением в тот же миг подтянув ноги к животу , и , повернувшись , разглядел несущееся на него с неудержимой силой совершенно белое от #ужаса# лицо женщины - вагоновожатой и ее алую повязку .	1	ot	ад	жаху	Ён паспеў перавярнуццца на бок , імкліва падцягнуў ногі да жывата і , пасля таго як павярнуўся , угледзеў , як імчыць на яго з нястрымнаю сілаю зусім белы ад жаху твар жанчыны - вагонаважатай і яе чырвоную павязку .	1	ot	від	жаху	 Він устиг перевернутися на бік , відчайдушним рухом відразу підтягнувши ноги до живота , і , перевернувшись , угледів зовсім біле від #жаху# обличчя жінки - вагоновожатої та її червону пов ' язку , які нестримно летіли на нього . 	1	iz	z	zgrozy	 Michał Aleksandrowicz zdążył przekręcić się na bok , wściekłym ruchem , w tejże sekundzie podciągnął nogi pod brzuch , odwrócił się i zobaczył niepowstrzymanie pędzącą na niego zbielałą ze #zgrozy# twarz prowadzącej tramwaj kobiety i jej czerwoną opaskę . 	1	INS	INS	hrůzou	 Obrátil se bleskurychle na bok , zběsilým pohybem přitáhl kolena k břichu a vtom zahlédl #hrůzou# zbělelý obličej a rudý šátek řidičky tramvaje , který se k němu nezadržitelně blížil . 	1	ot	od	hrôzy	 Stačil sa obrátiť nabok , zúrivým pohybom pritiahnuť nohy k bruchu , a keď sa obrátil , zbadal , ako sa naňho s nezadržateľnou silou rúti od #hrôzy# celkom biela tvár vodičky v červenej šatke . 	1	ot	od	groze	 Posrečilo se mu je , da se je obrnil na bok , z divjim sunkom je isti hip potegnil noge k životu , se zasukal in zagledal od #groze# popolnoma beli obraz voznice in njeno svetlo rdečo prevezo , kako z nezadržno silo drvi proti njejmu . 	1	ot	od	užasa	 Uspio je da se okrene na bok , istovremeno je hitrim pokretom pritegnuo noge k trbuhu i , okrenuvši se , ugledao je od #užasa# potpuno bijelo lice ženevozača , koje mu se približavalo nezadrživom snagom , i njenu crvenu maramu . 	1	ot	od	užasa	 Uspeo je još da se okrene na stranu , naglim pokretom podvukavši noge pod stomak i , okrenuvši se , ugleda kako na njega nezadrživo juri bledo od #užasa# lice kočničarke tramvaja , sa crvenom maramom oko vrata . 	1	ot	од	ужас	 Стаса да се сврти настрана и истиот миг , додека со бесно движење ги подвлекуваше нозете под себеси , успеа да го види побеленото од #ужас# лице на жената - возач и нејзината алова шамија како му се приближуваатсонезапирлива сила . 	1	ot	от	ужас	 Успя да се извърти на хълбок и в същия миг с бясно движение да свие крака към корема , но когато се обърна , съзря понеслото се към него с неудържима сила съвсем бяло от #ужас# лице на жена ватманка и алената й забрадка . 	11	*	 Він встиг повернутися на бік , скаженим рухом тієї ж миті підтяг ноги до живота , і , повернувшись , розгледів геть біле від #жаху# обличчя жінки - водія та її червону пов'язку , що мчить на нього з нестримною силою . 	 Zdążył też przewrócić się na bok i desperackim ruchem podciągnąć nogi pod brzuch ; po czym , odwracając się , ujrzał pędzącą na ń z niepowstrzymaną siłą zbielałą z I#przerażenia#I twarz kobietymotorniczego z czerwoną opaską na ramieniu . 	 On stiže i da se okrene na bok , pomamnim pokretom skupivši u isto vreme noge prema trbuhu , a okrenuvši se , ugleda kako juri prema njemu nezadrživom silinom lice žene koja vozi tramvaj , potpuno pobelelo od #užasa# , i vide njenu alevu maramu . 	*			
6	bulgakovmaster	д	круглый	1	ot	от	ужас	17793 Однако выскочить удалось , и , отдуваясь и фыркая , с круглыми от #ужаса# глазами , Иван Николаевич начал плавать в пахнущей нефтью черной воде меж изломанных зигзагов береговых фонарей .	1	ot	ад	жаху	Аднак вынырнуць удалося , Іван аддыхваўся , фыркаў , з круглымі ад жаху вачыма плаваў у прапахлай нафтаю і мазутам вадзе між зігзагаў ад берагавых ліхтароў .	1	ot	від	жаху	 Але зміг таки , і , відсапуючись та пирскаючи , з - круглими від #жаху# очима , Іван Миколайович почав плавати в чорній воді , яка тхнула нафтою , поміж ламливих зиґзаґів берегових ліхтарів . 	1	iz	z	zgrozy	 Jednak wypłynął i z okrągłymi ze #zgrozy# oczyma , parskając i łapiąc powietrze , zaczął pływać w czarnej cuchnącej ropą naftową wodzie , pomiędzy zygzakowatymi światłami nadbrzeżnych latarń . 	1	INS	INS	strachem	 Nakonec se mu to přece jen podařilo : funěl a hlasitě odfrkoval , oči vypoulené strachem , když plaval v zčernalé vodě načichlé #naftou# , mezi pokřivenými stíny nábřežních svítilen . 	1	ot	od	hrôzy	 No predsa len sa podarilo a s očami rozšírenými od #hrôzy# , fučiac a dychčiac , plával vo vode , smrdiacej naftou , pomedzi lomené cikcakovité odrazy nábrežných lámp . 	1	ot	od	strahu	 Vendar se mu je to posrečilo , in oddihujoč si in prhajoč , z očmi , velikimi od #strahu# , je Ivan Nikolajevič začel plavati po črni vodi , ki je smrdela po nafti , med cikcakasto zlomljenimi odsevi obrežnih svetilk . 	1	ot	od	užasa	 Ipak uspjelo je , i dašćući i frkćući , s okruglim od #užasa# očima , Ivan Nikolajevič počeo je plivati u crnoj vodi koja je mirisala na naftu , između izlomljenih vijuga što su ih stvarale obalne svjetiljke . 	1	ot	od	užasa	 Ali uspeo je , i frkćući , očiju iskolačenih od #užasa# , Ivan Nikolajevič poče da pliva kroz crnu vodu koja je mirisala na naftu , između izlomljenih krivudavih odraza priobalnih fenjera . 	1	ot	од	ужас	 Но тој успеа да исплива и , дувајќи и плукајќи ја водата , со очи ококорени од #ужас# , Иван Николаевич почна да плива во водата што мирисаше на нафта меѓу искршените зигзагови на крајбрежните фенери . 	1	ot	от	ужас	 Но изскочи и като пъшкаше и пръхтеше с изцъклени #от# #ужас# очи , Иван Николаевич заплува във вмирисаната на нафта черна вода между начупените зигзаги от крайбрежните лампи . 	11	*	 Проте вихопитись вдалося , і , відсапуючись та пирхаючи , з круглими від #жаху# очима , Іван Миколайович став плавати в чорній , що відгонила нафтою , воді , між поламаних зиґзаґів берегових ліхтарів . 	 Ale się jednak udało ; prychając , parskając i wytrzeszczając w I#przerażeniu#I #oczy# Iwan Nikołajewicz pływał tak w czarnej śmierdzącej naftą wodzie , między świetlnymi zygzakami nadbrzeżnych latarń . 	 Ipak , uspeo je da ispliva i , dahćući i frkćući , očiju iskolačenih od #užasa# , Ivan Nikolajevič zapliva kroz crnu vodu što je mirisala na naftu , među isprekidanim vijugama koje su stvarale priobalne svetiljke . 	*			
8	bulgakovmaster	д	болтать	1	ot	от	тоска	19725 Бескудников стукнул пальцем по циферблату , показал его соседу , поэту Двубратскому , сидящему на столе и от #тоски# болтающему ногами , обутыми в желтые туфли на резиновом ходу .	1	ot	ад	няма чаго рабіць	Бяскуднікаў пстрыкнуў па цыферблаце , паказаў яго суседу , паэту Двухбрацкаму , які сядзеў на стале і ад няма чаго рабіць махаў нагамі , абутымі ў жоўтыя чаравікі на гумавай падэшве .	1	iz	з	нудьги	 Стрілка повзла до одинадцяти . Бескудніков стукнув пальцем по циферблату , показав його сусідові , поету Двубратському , який сидів на столі й з #нудьги# теліпав ногами в жовтих черевиках на гумовій підошві . 	1	iz	z	nudów	 Bieskudnikow prztyknął palcem w cyferblat i pokazał go sąsiadowi , poecie Dwubratskiemu , który siedział na stole i z #nudów# majtał nogami obutymi w żółte półbuty na gumie . 	1	iz	z	dlouhé chvíle	 Beskudnikov cvrnkl palcem do ciferníku a strčil hodinky pod nos sousedovi , básníku Dvoubratskému , který seděl na stole a z dlouhé #chvíle# klátil nohama ve žlutých sandálech s gumovou podrážkou . 	1	iz	z	nudy	 Beskudnikov poťukal prstom na ciferník , ukázal ho svojmu susedovi básnikovi Dvojbratskému , ktorý sedel na stole a z #nudy# opálal nohami v žltých topánkach s gumenou podrážkou . 	1	ot	od	dolgega časa	 Beskudnikov je potrkal s prstom po številčnici in jo pokazal svojemu sosedu , pesniku #Dvubratskemu# , ki je sedel na mizi in od dolgega časa bingljal z nogami , obutimi v rumene čevlje z gumenim podplatom . 	1	ot	od	dosade	 Beskudnikov je kucnuo kažiprstom po brojčaniku , pokazao ga susjedu , pjesniku Dvubratskome koji je sjedio na stolu i od #dosade# mahao nogama , obuvenim u žute cipele s gumenim potpiatom . 	1	ot	od	dosade	 Beskudnjikov lupi noktom po brojčaniku , pokaza ga susedu , pesniku Dvubratskom , koji je sedeo na stolu i od #dosade# mlatarao nogama u žutim cipelama sa gumenim đonom . 	1	ot	од	здодневност	 Стрелката се движеше кон единаесет , Бескудников чукна со прст по цифреникот , му го покажа на соседот , поетот Двубратски , кој седеше на маса и кој од здодевност си ги нишаше нозете обуени во жолти чевли со гумени #пенчиња# . 	1	ot	от	скука	 Бескудников чукна с пръст циферблата , посочи го на съседа си , поета Двубратски , който седеше на масата и от U#скука#U си клатеше краката , обути в жълти обувки с гумени подметки . 	11	*	 Бескудников стукнув пальцем по цифербляту , показав його сусідові , поетові Двубратському , який сидів на столі й знічев'я #гойдав# ногами , узутими в жовті черевики на гумовій підошві . 	 Bieskudnikow postukał w #szkiełko# i pokazał godzinę sąsiadowi , poecie Dwubrackiemu , który siedział na stole i machał z nudów nogami , obutymi w żółte pantofle na gumowych podeszwach . 	 Beskudnikov kucnu prstom po brojčaniku , pokaza ga susedu , pesniku Dvobratskom , koji je sedeo na stolu i od #dosade# mlatarao nogama obuvenim u žute cipele sa gumenim đonom . 	*			
9	bulgakovmaster	д	запотеть	1	ot	от	холод	27688 Особенно поразило Степу то , что графин запотел от #холода# .	1	ot	ад	холаду	Асабліва ўразіла Сцёпу тое , што графін запацеў ад холаду .	1	ot	від	холоду	 Особливо вразило Стьопу те , що карафка запітніла від #холоду# . 	1	iz	z	zimna	 Szczególnie wstrząsające wrażenie na Stiopie wywarło to , że karafka spotniała z #zimna# . 	0	?	0		 Nejvíc ho překvapilo , že karafa je #orosená# . 	0	?	\		 Sťopu ohromilo najmä to , že karafa bola zarosená . 	1	ot	od	hladu	 Stjopa je posebno prevzelo to , da je bila steklenica orošena od #hladu# . 	0	?	0	?	 Stjopu je naročito zapanjilo što je boca #bila# #orošena# . 	1	ot	od	hladnoće	 Stjopa se posebno zaprepasti što je boca #bila# oznojena od #hladnoće# . 	1	ot	од	тесност	 Особено го вчудоневиде Стјопа тоа што шишето беше испотено од #студената# O#течност#O . 	0	?	0	?	 Особено го смая фактът , че гарафата #беше# #запотена# . 	7	*	 Стьопа , витріщаючи очі , побачив , що на маленькому столику сервовано тацю , на якій є нарізаний білий хліб , паюсна ікра у вазочці , мариновані гриби на тарілочці , щось у каструльці і , нарешті , горілка в місткій ювелірпшній карафці - Особливо вразило Стьопу те , що карафа запітніла від #холоду# . 	 Szczególnie wstrząsnął Stiopą fakt , iż karafka była oszroniona z #zimna# , co zresztą dało się zrozumieć : tkwiła w kubełku pełnym lodu . 	 Stjopu posebno zapanji to što se bokal oznojio od #hladnoće# . 	*			
11	bulgakovmaster	д	всплеснуть	1	ot	от	развязность	30791 Прикрепленный к новому жилищу насильственно , Иван едва руками не всплеснул от #развязности# женщины и молча ткнул пальцем в пижаму из пунцовой байки .	1	ot	ад	разбэшчанасці	Прымацаваны да новага месца жыхарства сілком , Іван ледзь рукамі не ўспляснуў ад разбэшчанасці жанчыны і моўчкі ткнуў пальцам у піжаму з пунсовай байкі .	1	ot	від	невимушеності	 Присилуваний жити в новій оселі , Іван мало руками не сплеснув від O#невимушеності#O жінки і мовчки ткнув пальцем у піжаму з густо - червоної байки . 	0	?	\na	poufałość	 Szlafrok czy piżamkę ? Po niewoli skazany na nowe miejsce pobytu Iwan o mało nie klasnął w ręce na taką O#poufałość#O i w milczeniu wskazał palcem piżamę z pąsowego barchanu . 	1	nad	nad	nenuceností	 Ivan , násilím připoutaný k novému obydlí , div nespráskl ruce nad #její# O#nenuceností#O a mlčky ukázal na vínové flanelové pyžamo . 	1	nad	nad	familiárnosťou	 Ivan , násilne prinútený k novému obydliu , div nespľasol rukami nad #ženinou# O#familiárnosťou#O a mlčky ukázal prstom na vínovočervenú flanelovú pyžamu . 	1	prica	vpričo	brezskrbnosti	 « Ivan , ki so ga s silo spravili v to novo bivališče , bi bil skoraj plosknil z rokami vpričo O#brezskrbnosti#O #te# ženske , in molče je s prstom pokazal na pižamo iz živo rdeče bombaževine . 	1	zbog	zbog	nametljivosti	 Nasilno prikovan za novo mjesto stanovanja , Ivan samo što nije rukama pljesnuo zbog ženine O#nametljivosti#O i šutke je pokazao prstom pidžamu od svijetlocrvene pamučne tkanine . 	1	zbog	zbog	drskosti	 -- Silom uguran u novi dom , Ivan samo što ne pljesnu rukama zbog #nečuvene# O#drskosti#O žene i ćutke pokaza prstom purpurnu , flanelsku pižamu . 	1	radi	поради	дрскоста	 Прикрепен насилно за новото живеалиште , Иван само што не плесна со рацете поради дрскоста на жената , но молчејќи го впери показалецот во пижамата од црвен #порхет# . 	1	ot	от	безцеремонност	 Прикован насила в новото си жилище , Иван едва не плесна с ръце от #тази# O#безцеремонност#O на жената и мълчаливо посочи пижамата от яркочервен бархет . 	10	*	 Прикріплений до нового житла примусово , Іван ледь руками не сплеснув від #зухвалости# жінки й мовчки тицьнув пальцем у піжаму з пунсової байки . 	 Skazany mimo woli na nowe mieszkanie Iwan omal rąk nie załamał na taką O#bezceremonialność#O — i milcząc pokazał palcem piżamę z pąsowej flaneli . 	 Silom uvučen u novo boraviše , Ivan samo što ne pljesnu rukama zbog O#familijarnosti#O #te# žene i ćutke upre prst u pidžamu od svetlocrvenog flanela . 	*			
12	bulgakovmaster	д	бледнеть	1	ot	от	злоба	39681 - Ну , если это так , - бледнея от #злобы# заговорил финдиректор , - то уж это действительно свинство , которому нет названия !	1	ot	ад	злосці	Ніякая не Ялта , а ён за горад паехаў ! - Ну , калі гэта сапраўды так ,- пабялеў ад злосці фіндырэктар і сказаў :	1	ot	від	люті	 - Ну , якщо це так ,- бліднучи від #люті# , заговорив фіндиректор ,- то це вже цілковите свинство , якому не дібрати назви ! 	1	iz	z	wściekłości	 - No , jeżeli to tak - blednąc z O#wściekłości#O powiedział dyrektor - to jest to rzeczywiście świństwo nie z tej ziemi . 	1	INS	INS	vztekem	Jestli je to pravda , láteřil ředitel , #bledý# K#vztekem#K, pak to není nic jiného než prachsprosté svinstvo , že mu není rovno ! 	1	ot	od	zlosti	 – No , ak je tak , – ozval sa finančný riaditeľ , blednúc od O#zlosti#O , – je to naozaj obrovské svinstvo , na to nemám slov ! 	1	ot	od	jeze	 « » No , če je to tako , « je rekel finančni ravnatelj , bledeč od #jeze# , » je to resnična svinjarija , taka , da ni imena zanjo ! 	1	ot	od	bijesa	 – No ako je tako – blijed od #bijesa# progovorio je findirektor – to je stvarno svinjarija kojoj nema imena ! 	1	ot	od	besa	 - Pa ako je tako - prebledevši od #besa# , poče finansijski direktor - onda je to takva svinjarija da joj nemaravne ! 	1	ot	од	лутина	 - Е , ако е така , - пребледувајќи од #лутина# проговори финансискиот директор , - тогаш тоа е навистина свинштина која нема ни име ! 	1	ot	от	злоба	 — Е , ако е така — пребледня от #злоба# финдиректорът , — това вече наистина е свинщина , за която просто няма име ! 	11	*	 Ну , якщо це так , — бліднучи зі злости , промовив фінди ­ #ректор# , — то це справді свинство , якому немає назви ! 	 Pojechał za miasto i tyle ! — No , jeśli tak — powiedział wicedyrektor , blady ze O#złości#O — to na takie świństwo nie ma słów ! 	 - Ali , ako je tako - bled od #besa# , poče finansijski direktor - onda je to stvarno već takva svinjarija koju ne znam kako da nazovem ! 	*			
15	bulgakovmaster	д	оскалиться	1	ot	от	ярость	54406 Она оскалилась от #ярости# , что - то еще говорила невнятно .	1	ot	ад	злосці	Яна аскалілася ад злосці , нешта яшчэ гаварыла незразумелае .	1	ot	від	люті	 Вона ошкірилася від #люті# , щось іще говорила нерозбірливе . 	1	iz	z	wściekłości	 Zaciskała zęby z O#wściekłości#O , mówiła coś jeszcze , czego nie zrozumiał em . 	0	?	0		 -- -- Ještě cosi drmolila , #zuby# #sevřené# , ale nebylo jí rozumět . 	0	?	0		 Ešte čosi hovorila cez #zaťaté# #zuby# , ale nebolo jej rozumieť . 	1	v	v	jezi	 V #jezi# je pokazala zobe in govorila še nekaj nerazumljivega . 	1	ot	od	bijesa	 Iscerila se od #bijesa# , govorila je još nešto nerazgovijetno . 	1	ot	od	besa	 Lice joj se iskrivilo od #besa# , govorila je još nešto nerazumljivo . 	1	ot	од	лутина	 Таа рикаше од #лутина# и зборуваше уште нешто неразбирливо . 	1	ot	от	ярост	 Тя се озъби от O#ярост#O и заговори съвсем несвързано . 	9	*	 Вона ошкірилася з #люті# , ще щось казала нерозбірливе . 	 Szczerzyła zęby w O#złości#O , mówiła coś niezrozumiałego . 	 Usana iskrivljenih od O#jarosti#O , govorila je još nešto nerazumljivo . 	*			
16	bulgakovmaster	д	жаться	1	ot	от	холод	55014 - Да , так вот , в половине января , ночью , в том же самом пальто , но с оборванными пуговицами , я жался от #холода# в моем дворике .	1	ot	ад	холаду	Ага , дык вось , у сярэдзіне студзеня , ноччу , у тым самым паліто , але з адарванымі гузікамі , я туліўся ад холаду ў маім дворыку .	1	ot	від	холоду	 - Отож у половині січня , серед ночі , в тому ж таки пальті , але з обрізаними ґудзиками , я щулився від #холоду# в моєму дворикові . 	1	iz	z	zimna	 - Tak więc późnym wieczorem w połowie stycznia , w tym samym paletku , ale z poobrywanymi guzikami , drżał em z #zimna# na moim podwórku . 	1	INS	INS	zimou	Tak tedy v polovině ledna jsem se na našem dvorku třásl #zimou# ve starém kabátě s utrženými knoflíky . 	1	ot	od	zimy	 – A tak v noci v polovici januára som sa na našom dvorčeku triasol od #zimy# v starom kabáte s obtrhanými gombíkmi . 	0	?	*		 Za menoj so bili zameti , ki so pokrivali grmovje lipovke , spodaj pred menoj pa moja okenca , šibko razsvetljena in #pokrita# z zastori . 	1	ot	od	hladnoće	 – Da , eto tako , polovicom siječnja , noću , u istom kaputu , ali s otrgnutim dugmetima , ja sam se ježio od #hladnoće# u mojem dvorištu . 	1	ot	od	hladnoće	 - I tako sam polovinom januara , noću , u tom istom kaputu , ali sa iskidanim dugmadima , drhtao od #hladnoće# u svom dvorištu . 	0	?	\		 - И ете така , кон средимата на јануари , ноќе , во истото палтоно со #искинати# копчиња , јас се смрзнував стоејќи во моето дворче . 	1	ot	от	студ	 — Да , та в средата на януари , посред нощ , все в същото палто , но с изпокъсани копчета , аз се свивах от #студ# в дворчето си . 	9	*	 Так от , о половині січня , вночі , у тому ж самому пальті , але з обірваними ґудзиками , я щулився від #холоду# в моєму подвір'ячку . 	 Z tyłu miał em zaspy , w których utonęły krzaki bzu , z przodu zlaś , w #dole# moje okienka , słabo oświetlone i zaciągnięte zasłonami . 	 - Da , eto tako sam se , polovinom januara , noću , u tom istom kaputu , ali sada bez dugmadi , grčio od #hladnoće# u svom dvorištu . 	*			
17	bulgakovmaster	д	не справляться	1	ot	от	волнение	56047 Возле дамы метался какой - то гражданин , сдирающий с себя летнее пальто и от #волнения# никак не справляющийся с рукавом , в котором застряла рука .	1	ot	ад	хвалявання	Каля пані мітусіўся нейкі грамадзянін , здзіраў з сябе летняе паліто і ад хвалявання ніяк не мог справіцца з рукавом , у якім заблыталася рука .	1	ot	від	хвилювання	 Біля дами метушився якийсь громадянин , що здирав з себе літнє пальто і від I#хвилювання#I ніяк не міг подужати рукав , у якому застрягла рука . 	1	iz	z	zdenerwowania	 Nie opodal damy podrygiwał jakiś obywatel , usiłując zedrzeć z siebie letni paltocik , ale ze I#zdenerwowania#I nie mógł sobie poradzić z ręką , która uwięzła w rękawie . 	1	v	v	rozčilení	 Kolem dámy se ochomýtal jakýsi muž , strhával ze sebe letní plášť a v rozčilení nemohl vyprostit U#ruku#U z rukávu . 	1	v	v	rozčúlení	 Okolo dámy poskakoval akýsi muž , trhal zo seba ľahký zvrchník , ale v rozčúlení #nedajbože# vytiahnuť ruku z rukáva . 	1	ot	od	vznemirjenosti	 Zraven dame se je motovilil neki meščan , ki je skušal vreči poletni plašč s sebe in od #same# O#vznemirjenosti#O nikakor ni mogel spraviti roke iz rokava . 	1	ot	od	uzbuđenja	 Kraj dame se vrpoljio neki građanin skidajući sa sebe ljetni kaput i od I#uzbuđenja#I nikako nije mogao izaći na kraj s rukavom u kojem je zapela ruka . 	1	ot	od	uzbuđenja	 Kraj dame se muvao građanin koji je skidao sa sebe kišni mantil i od I#uzbuđenja#I nikako nije mogao da izvuče ruku iz rukava . 	1	ot	од	вознемиреност	 Околу дамата се шуткаше некој граѓанин кој го соблекуваше летното палто , но од O#вознемиреност#O никако не можеше да го извлече ракавот . 	1	ot	от	вълнение	 Край дамата се суетеше някакъв гражданин , който свличаше шлифера си и от I#вълнение#I все не можеше да се справи с ръкава , не успяваше да си издърпа ръката . 	11	*	 Біля дами метушився якийсь гро ­ мадянин , якій здирав із себе літнє пальто , і який від хви ­ I#лювання#I ніяк не міг упоратися з рукавом , у якому застрягла рука . 	 Przy damie miotał się jakiś obywatel , próbując zedrzeć z siebie letni płaszcz ; w zdenerwowaniu nie umiał jednak poradzić sobie z rękawem , w którym #uwięzia# #mu# ręka . 	 Pored dame trčkarao je nekakav građanin koji je skidao sa sebe letnji mantil i u I#uzbuđenju#I nikako nije mogao da izađe na kraj s rukavom u kome se zaglavila ruka . 	*			
18	bulgakovmaster	д	визжать	1	ot	от	ужас	57258 Гонка за какими - то гражданками , визжащими от #ужаса# !	0	?	*	?	*	1	ot	від	жаху	 Гонитва за якимись громадянками , що верещали від #жаху# ! 	1	iz	z	strachu	 Albo gonitwa za jakimiś obywatelkami , które uciekały piszcząc ze #strachu# ! 	1	INS	INS	hrůzou	 Nebo pronásledování neznámých občanek , které ječely #hrůzou# ! 	1	ot	od	hrôzy	 Naháňačka s akýmisi občiankami , ktoré pišťali od #hrôzy# ! 	1	ot	od	groze	 Pa podenje za ženskami , ki so vreščale od #groze# ! 	1	ot	od	užasa	 Trka za nekim građankama koje su vriskale od #užasa# ! 	1	ot	od	užasa	 Trka za nekim građankama , koje vrište od #užasa# ! 	1	ot	од	ужас	 Па гонењето на некоиси граѓанки што пискале од #ужас# ! 	1	ot	от	ужас	 Преследването на някакви гражданки , които пищели от #ужас# ! 	10	*	 Гонитва за якимись громадянками , які верещали від #жаху# ! 	 Albo pogoń za jakimiś piszczącymi z I#przerażenia#I obywatelkami ! 	 Jurnjava za nekakvim građankama koje užasnuto vrište ! 	*			
