NoRaw	Ru_PP	Br_PP	Uk_PP	Pl_PP	Cz_PP	Sk_PP	Sl_PP	Cr_PP	Sr_PP	Mk_PP	Bg_PP
5	от	ад	від	z	INS	od	od	od	od	од	от
6	от	ад	від	z	INS	od	od	od	od	од	от
8	от	ад	з	z	z	z	od	od	od	од	от
9	от	ад	від	z	NA	NA	od	NA	od	од	NA
11	от	ад	від	NA	nad	nad	vpri?o	zbog	zbog	поради	от
12	от	ад	від	z	INS	od	od	od	od	од	от
15	от	ад	від	z	NA	NA	v	od	od	од	от
16	от	ад	від	z	INS	od	NA	od	od	NA	от
17	от	ад	від	z	v	v	od	od	od	од	от
18	от	NA	від	z	INS	od	od	od	od	од	от
19	от	ад	від	z	NA	od	od	od	od	NA	от
20	от	ад	NA	NA	INS	od	NA	NA	od	од	от
21	от	ад	NA	z	z	z	NA	od	od	од	от
22	от	ад	від	NA	NA	od	od	od	od	од	NA
23	от	ў	з	NA	NA	od	od	od	od	од	NA
24	от	NA	від	INS	NA	od	od	od	od	од	от
25	от	ад	від	NA	INS	od	od	od	od	од	от
26	от	ад	від	od	NA	NA	v	od	od	од	от
28	из	дзелйа	з	przez	z	z	iz	iz	radi	од	от
30	от	ад	від	z	NA	od	NA	od	od	од	от
32	от	ад	від	NA	NA	od	od	od	NA	од	от
33	от	ад	з	z	z	od	od	od	od	од	от
34	из-за	з-за	через	przez	ve_jm?nu	NA	NA	zbog	zbog	поради	в_името_на
35	от	ад	від	na_skutek	NA	z	od	od	od	од	от
36	от	NA	з	z	INS	od	od	od	od	од	от
37	от	ад	від	NA	NA	NA	od	od	NA	од	от
38	по	з-за	з	przez	z	z	v	zbog	zbog	од	от
39	от	ад	від	z	INS	od	od	od	od	NA	от
40	от	ад	від	NA	NA	NA	v	od	od	од	от
41	от	ад	від	z	INS	od	od	od	od	од	от
42	от	ад	від	z	INS	od	v	od	od	од	от
43	от	ад	від	z	INS	od	od	od	od	од	от
44	из	NA	з	NA	z	pre	iz	radi	radi	од	NA
45	от	ад	від	NA	INS	od	od	od	od	од	от
46	от	ад	від	NA	INS	od	od	od	od	од	от
47	от	ад	від	NA	NA	od	od	od	NA	од	от
48	от	ад	від	z	NA	od	od	od	od	од	от
49	от	ад	від	z	INS	od	od	od	od	од	от
51	от	ад	від	NA	INS	od	od	od	od	од	от
52	от	ад	від	NA	NA	NA	od	od	od	од	от
53	от	NA	від	z	INS	od	od	od	od	од	от
54	из	NA	NA	z	z	z	iz	iz	iz	од	от
55	от	ад	від	z	NA	od	od	od	od	од	от
56	с	ад	з	z	NA	NA	od	od	od	од	от
57	по	з-за	через	z_powodu	d?ky	pre	po	zbog	NA	поради	заради
58	от	ад	від	z	INS	od	od	od	od	од	от
67	от	ад	від	z	NA	NA	NA	od	od	од	от
69	с	ў	з	w	v	NA	v	u	u	в	NA
70	из	з-за	з	z	z	z	NA	iz	iz	поради	от
76	от	ад	від	od	od	NA	od	od	od	од	от
77	из-за	ад	від	od	NA	od	od	od	od	поради	от
80	от	ад	NA	od	INS	od	od	INS	od	од	от
85	из	дзелйа	з	z	NA	NA	zaradi	zbog	iz	NA	за
88	из-за	ад	завдйаки	z_powodu	pro	NA	zaradi	zbog	zbog	поради	поради
90	из	з	через	z	z	z	iz	iz	iz	од	от
93	от	ад	від	z	INS	od	od	od	od	од	от
98	от	ад	від	z	INS	NA	od	od	od	од	от
100	из	ў	з	z	z	z	iz	iz	iz	од	от
107	из	NA	з	z	NA	NA	iz	iz	iz	од	от
108	от	NA	від	NA	INS	NA	od	od	od	од	от
